,summary_gpt,summary_t5,summary_actual,index,input,
48,"Uganda's top court has charged opposition leader Joseph Kony, accusing him of inciting violence to quash last week's presidential election.","Uganda's president has been charged with treason after he appeared in court in Moroto, the country's capital, Kampala.",Uganda's main opposition leader Kizza Besigye has been charged with treason.,54,"Mr Besigye was the main challenger to President Yoweri Museveni in the country's recent general election, which Mr Museveni won by a landslide.
He insists he was the rightful winner of the polls, but Uganda's top court upheld the official result.
""We have been informed by police today that Besigye appeared in court in Moroto and was charged with treason,"" said his lawyer Erias Lukwago.
Mr Besigye was arrested on Wednesday in downtown Kampala and flown to Moroto, where he has been in custody ever since.
It follows a series of arrests of the opposition leader during the election campaign.
Meanwhile, Mr Museveni was sworn in on Thursday for his fifth elective term, extending his 30-year rule of Uganda.
Foreign observers said the poll had been marred by fear and intimidation.
In a BBC interview, Mr Museveni rejected allegations of vote rigging, and accused Mr Besigye of planning to incite violence.
Responding to criticism from European Union observers that the electoral commission ""lacked independence and transparency"", Mr Museveni told the BBC's Zuhura Yunus that ""those Europeans are not serious"".
""Transparency is what we've been voting for,"" he added.
Mr Museveni, a key ally of the West in the campaign against militant Islamists in the region, seized power in 1986 and is credited with restoring stability to Uganda.
However, critics say he has become increasingly authoritarian.
On Friday, the US said Mr Museveni should ""rein in"" his security forces after they briefly arrested Mr Besigye, and fired tear gas to disperse his supporters in Kampala.",Uganda's main opposition leader Kizza Besigye has been charged with treason.
49,"Ben North says that he felt lucky to beat Australia, but admits there was a sense of injustice in losing the first Test against them.","Northampton Lions wing Chris North says he was ""delighted"" to get his first Test win of the series against the Wallabies.","Try-scorer George North has described the British and Irish Lions's first-Test victory over Australia as an ""unbelievable feeling"".",55,"North and his fellow Wales wing Alex Cuthbert scored the Lions's tries in the 23-21 win in Brisbane.
Australia would have won had replacement Kurtley Beale not failed with two late penalties.
""It was a remarkable win and a remarkable result,"" North said.
""It was an unbelievable feeling. We won and I got my first [Lions] Test try. It doesn't get much better than that.
""My heart was in my mouth at the end. I think everyone was feeling the same.
""It's always good to get a win, and while it was tough towards the end we are delighted to have got that first win in the series.
""We've spoken a lot about momentum these past few weeks, and that could be huge for us now heading into the second Test next week.""
The Wallabies were leading 7-3 through Israel Folau's converted before the Lions hit back with a fine individual try from North.
The 21-year-old, making his Lions Test debut, effortlessly beat three players during a 60-metre run before crossing for his third try of the tour.
""When the ball dropped out of the sky, my first thought was just to run,"" said North.
""Luckily, I saw a gap and I just went for it. It opened up for me, and I can't begin to tell you how good it felt when I crossed that line.""
North, who has joined Northampton Saints from Scarlets ahead of the 2013-14 season, thought he had struck again just five minutes later when he squeezed over in the corner.
But the television match official ruled a combination of opposite number Israel Folau getting a hand underneath the ball and the Lions wing's free arm hitting the touchline meant no try.
""I felt it was a try. At the end of the day, the TMO makes his call and you have to live with it. But I certainly felt that I had got there,"" North added.
""Perhaps one or two things didn't quite go for us in that regard today, so it makes the win even better.""
The Lions face Melbourne Rebels, led by former Wales number eight Gareth Delve, on Tuesday before next Saturday's second Test against the Wallabies in the same city.
Victory at Melbourne's Etihad Stadium would secure a first Lions Test series win since 1997 but North believes there is room for improvement.
""I definitely think we can play a lot better than we did,"" North added.
""We need to be more clinical, and we need to get a bit more accuracy in our game.
""It's a funny one, really. We know we can play better than that, but we are obviously still delighted to get the win.
""That wasn't our best performance, and we need to keep pushing for next week.""
North's Wales team-mate Cuthbert, who scored the Lions' second try, expects an Australian backlash in the second Test.
""Australia are not going to lie down and let us win this,"" Cuthbert said.
""They're going to put in one hell of an effort and I think they thought they probably could have won that game so they're going to be straight at us again next week. We've got a lot to work on.""","Try-scorer George North has described the British and Irish Lions's first-Test victory over Australia as an ""unbelievable feeling""."
50,"Goalkeepers: Federico Fazio (Inter Milan), Samuel Umtiti (Inter Milan), Robert Lewandowski (Borussia Dortmund), Joachim Low (Tottenham Hotspur)
Defensive-midfielders: Lucas Peirez (Arsenal), Dani Carvajal (FC Barcelona), Marc-Andre ter Stegen (Barcelona), Stefan Kiessling (FC Augsburg), Julian Weigl (Borussia Dortmund), Thomas Muller (Bayern Munich), Andreas Pereira (Schalke 04), Mathieu Flamini (Juventus), Mario Gomez (Borussia Dortmund), Lars Bender (Hoffenheim).","Bayern Munich midfielder Marco Reus has been ruled out of the 2014 World Cup due to a ""massive injury problem"".",Borussia Dortmund's Marco Reus has been omitted from Germany's Euro 2016 squad but Manchester United's Bastian Schweinsteiger has been included.,56,"Reus, 27, missed the 2014 World Cup and has had recent injury concerns.
Fellow midfielder Schweinsteiger, 31, has not played since picking up a knee injury in March while away with Germany but has been selected by Joachim Low.
Bayer Leverkusen's Julian Brandt, Karim Bellarabi and Hoffenheim's Sebastian Rudy have all been left out.
""The medical staff could not give a clear prognosis for Marco,"" Low said of Reus's omission, which comes on his birthday.
""He has massive injury problems and the medical staff was very sceptical about his ability to last through the coming weeks and such a gruelling tournament.
""It is a bitter decision and bitter for Marco.""
Liverpool midfielder Emre Can, Arsenal's Mesut Ozil and former Gunners attacking midfielder Lukas Podolski, now at Turkish side Galatasaray, have all been included as the world champions search for their first European title since 1996.
Goalkeepers: Manuel Neuer (Bayern Munich), Bernd Leno (Bayer Leverkusen), Marc-Andre ter Stegen (Barcelona)
Defenders: Jerome Boateng (Bayern Munich), Emre Can (Liverpool), Jonas Hector (Cologne), Benedikt Hoewedes (Schalke 04), Mats Hummels (Borussia Dortmund), Shkodran Mustafi (Valencia), Antonio Ruediger (Roma)
Midfielders: Julian Draxler (VfL Wolfsburg), Sami Khedira (Juventus), Joshua Kimmich (Bayern Munich), Toni Kroos (Real Madrid), Thomas Muller (Bayern Munich), Mesut Ozil (Arsenal), Lukas Podolski (Galatasaray), Andre Schurrle (VfL Wolfsburg), Bastian Schweinsteiger (Manchester United), Julian Weigl (Borussia Dortmund).
Forwards: Mario Gomez (Besiktas), Mario Goetze (Bayern Munich), Leroy Sane (Schalke 04)",Borussia Dortmund's Marco Reus has been omitted from Germany's Euro 2016 squad but Manchester United's Bastian Schweinsteiger has been included.
51,Two men have been charged by Swiss prosecutors over alleged payments to Platini for work he did for Uefa from 1999.,Swiss authorities have launched an investigation into former Fifa president Federico Platini's role as a technical adviser to the sport's governing body.,"Michel Platini, the head of European football's governing body Uefa, is being treated as ""in between a witness and an accused person'' by Swiss prosecutors investigating corruption at the world football authority Fifa.",57,"Prosecutors accuse Fifa president Sepp Blatter of making a ""disloyal payment"" of $2m (Â£1.6m) to Mr Platini.
Mr Platini has provided information to the investigation but said he did so as a witness.
Both men deny any wrongdoing.
Mr Platini has said he is still determined to run for Fifa president once Mr Blatter steps down.
Asked whether criminal proceedings had been opened against him, Mr Platini said: ""Absolutely not. I was heard last week by the Swiss Authorities only as a person providing information and I cooperated fully.""
But this was contradicted by the Swiss attorney general, Michael Lauber, who said: ""We didn't interview Mr Platini as a witness, that's not true. We investigated against him in between as a witness and an accused person.""
Mr Lauber also said he was prepared to search the Uefa headquarters as part of the investigation.
The allegations centre on a payment made to Mr Platini in 2011 at Fifa's expense for work he completed almost a decade earlier.
It came just two months before Uefa gave its backing to Blatter's 2011 presidential campaign, leading some to question the timing of it.
Mr Platini said he was told when starting the work that Fifa would not be able to pay him all the money because of its ""financial situation"".
But Fifa accounts show a revenue surplus of around $83m (Â£55m) from 1999-2002, when Mr Platini undertook the work as a technical adviser.
Fifa was thrown into turmoil this year when the US and Swiss authorities launched separate investigations into corruption at the body.
Mr Blatter is also suspected of signing a contract that was ""unfavourable to Fifa"". He is due to stand down next year, but says he will carry on in the role despite the criminal proceedings.","Michel Platini, the head of European football's governing body Uefa, is being treated as ""in between a witness and an accused person'' by Swiss prosecutors investigating corruption at the world football authority Fifa."
52,"John Higgins has not given up hope of winning a Grand Slam of Curling and says he is in a ""good place"" mentally following his defeat by Selby in last year, at the Staggerstone Championship.","Scot Andy Higgins says he is ""buzzing"" ahead of Sunday's Champions Cup semi-final against Barry Hawkins.",John Higgins believes he has the ability and the form to win his fifth World Championship.,58,"The 41-year-old reached the semi-final for the first time since he last lifted the trophy in 2011 with a 13-6 win over Kyren Wilson.
The world number six will now face the winner of Stephen Maguire's match against Barry Hawkins for a place in Sunday's final.
""I believe I can [win], and that's a great feeling to have,"" Higgins said.
""I was close last year, Alan [McManus] pipped me [in the quarter-final],"" he added.
""A couple of years after 2011, I'd been losing, my form wasn't great and you don't think you're going to get back to that one-table set up.
""It's the best place in the world to get out and play and I can't wait to get into the arena tomorrow [Thursday]. I'm buzzing.""
Higgins won all three sessions against Wilson, the world number 16, and believes his game has grown in strength over the course of the tournament.
The Scot considers reigning champion Mark Selby as the favourite for the title, while his pre-competition tip was Hawkins. Yet Higgins is in a good place mentally as he prepares for the semi-final.
""The nerves get more difficult, but I'm more relaxed this year,"" he said.
Media playback is not supported on this device
""I don't know if that's because I feel as if I'm playing OK. At this event, you need to have a few sessions when you have good, frame-winning breaks. I did that against Mark Allen and in the second session against Kyren.
""To win this event you need a couple of sessions when you're dominating the other player. I feel as if my game can be there to do that but I'm sure other players will say the same thing.
""There are some sessions, especially this year, when I couldn't have played any better. I played [Ronnie] O'Sullivan in the final of the Champions and couldn't have played any better. You've just got to hope that comes out in the big matches.""
Maguire was once tipped as a potential world champion by O'Sullivan, and Hawkins said the Scot is benefitting from curbing his socialising at tournaments.
Higgins would like to face his compatriot Maguire in the semi-final, because it would guarantee that a Scot will feature in Sunday's final.
""Everybody's got their own choices in life and us Scots, we maybe like a drink and there's nothing wrong with that,"" Higgins said. ""Life's too short.
""Stephen is a great player and I hope [he] comes through. If he was to beat me, I would be the first one to cheer him to win his first world title.
""But I get on well with Barry as well and I know how difficult he is to beat. In the last few years he's grown into a great champion, because he always had the game and he's got the belief now.""",John Higgins believes he has the ability and the form to win his fifth World Championship.
53,"An inquest jury has heard why a second inquest was needed at Woking Foyle Airfield, where a teenager died following a row over a mate.","A senior officer who was caught in bed with Pte Cheryl James days before she died has told an inquest he was ""humiliated"" that he had been forced off duty.","A boyfriend of a young soldier who died at Deepcut barracks asked her to end a love triangle at the Surrey base on the day she died, an inquest has heard.",59,"Pte Paul Wilkinson said he asked Pte Cheryl James to choose one of her lovers and pick him or her boyfriend.
The inquest in Woking was told Pte Wilkinson and Pte James had been caught in bed by her boyfriend Sapper Simeon Carr-Minns, known then as Jim.
Pte James was found dead with a bullet wound to the head in November 1995.
The 18-year-old from Llangollen, Denbighshire, was one of four recruits to die at the base in seven years.
Mr Wilkinson, then aged 16, said he spoke to Pte James about 20 minutes before he heard she had died.
He said: ""I just remember saying 'pick one of us, if you want to be friends that would be fine if you want to stay with him'. She said that she did not.""
Mr Wilkinson said he did not try to avoid being seen while the pair talked and he was just sitting in a chair in the cabin while she was on guard duty.
He was eventually seen by a major and told to leave because he should not have been with Pte James while she was on duty, the inquest heard.
He said the officer ""pretty much escorted me back to the barracks"".
The major has previously told the inquest that he did not march Mr Wilkinson off.
The inquest heard that was the last time Mr Wilkinson saw Pte James.
He also told the hearing about his anger and upset after Mr Carr-Minns caught him in bed with Pte James, days before she died.
He said Pte James told him then she was splitting up with Mr Carr-Minns.
Alison Foster QC, representing the James family, suggested to Mr Wilkinson he was ""not just angry"" but ""humiliated"" when Mr Carr-Minns turned up because other people who were also in the room began to tease and laugh at him.
Mr Wilkinson said being caught in bed by her boyfriend ""is not what you want"".
Ms Foster then told Mr Wilkinson the major was certain he had not marched him away and asked: ""Were you aware that you needed to sort out some sort of alibi?""
Mr Wilkinson said he had always given the same account but the other officer remembered it differently.
Ms Foster then recalled a statement from December 2002 in which Mr Wilkinson commented that if he had not been forced off the grounds he could have been facing a murder charge and been in prison.
But Mr Wilkinson denied he had tipped Pte James over the edge.
Ms Foster took Mr Wilkinson through differences in statements he has made and said: ""Your story gets more and more elaborate as time goes by.
""Your upset and humiliation gave you a motive to be seriously angry with Cheryl.
""Is it the case you have been less than truthful for your reason for going to see her on Monday morning?""
But Mr Wilkinson replied: ""No that is not true. I have said all that I remembered.""
Mr Wilkinson was asked if he saw Pte James sitting by a tree, if either of them had messed with her rifle, if he saw an accident happen to her, if he was present when the trigger was pulled, and if he heard the shot - he replied ""no"" to each question.
He had earlier denied he got violent when angry but Ms Foster pointed out he put someone's head through an arcade machine when he thought they were laughing about Pte James's death.
Mr Wilkinson said he had been pushed to breaking point and added: ""I think any other person would have done the same thing.""
A first inquest into Pte James's death in December 1995 recorded an open verdict. This second inquest was ordered after High Court judges quashed the original findings.
The hearing continues.","A boyfriend of a young soldier who died at Deepcut barracks asked her to end a love triangle at the Surrey base on the day she died, an inquest has heard."
54,A married father is on trial accused of having sex with a 13-year-old girl on a dating website.,"A US man has been charged with sexual activity with a 13-year-old girl and paying a child for sex, a court heard.","A former Dragons' Den star paid a 13-year-old girl for sex in a rented London apartment after meeting her on a ""sugar daddy"" website, the Old Bailey has heard.",60,"Doug Richard, 57, allegedly paid for the girl and her 15-year-old friend to travel from Norwich in January 2015.
The jury was told he took them to a Bishopsgate flat, where he spanked the younger girl and had sex with her.
He denies sexual activity with a minor and paying a child for sex.
Mr Richard, a US citizen who lives in Islington, north London, says the sex was consensual and that he ""reasonably believed"" the girl was over 16.
He gave a total of Â£480 to the teenager and her friend, which he says was for ""travel expenses"".
Prosecutor Gino Connor told the jury how Mr Richard met the girl through a US website where he listed his profile as a ""sugar daddy"", while 13-year-old called herself a ""sugar baby"".
During an iChat exchange retrieved from his laptop, the defendant asked her for a ""revealing"" photograph on her hands and knees.
""You are my new daddy I will do anything to keep you happy,"" the girl replied.
They arranged to meet and Mr Richard made a payment of Â£120 through PayPal, the court heard.
The girls travelled to Liverpool Street station on the morning of 2 January, where they met Mr Richard in a nearby cafe.
He asked their ages and they told him they were 16 and 17, the court heard.
Police were alerted after the mother of the older girl noticed a PayPal deposit in her bank account.
An examination of the 13-year-old on 4 January indicted she had suffered an injury that could have been caused by sex.
Mr Richard was arrested the following day at the Lord Milner Hotel in Belgravia.
The court heard he reacted by saying: ""As you can see I am in a lot of trouble.""
The trial continues.","A former Dragons' Den star paid a 13-year-old girl for sex in a rented London apartment after meeting her on a ""sugar daddy"" website, the Old Bailey has heard."
55,Comcast has offered customers in the UK to get their fix of high bills by paying off old bills.,A number of customers have been reconnected following a vandalism at BT's Ealing office. BT has said it is still working on a fix for the problem.,"Thousands of people have been left with no phone service after what BT described as ""malicious damage"" to cables in west London.",61,"The telecommunication company said 11 cables were vandalised in Ealing on Saturday affecting people in the capital and parts of the South East.
BT said the vast majority of customers had been reconnected but engineers were still working on the problem.
The issue has also affected some Plusnet and Talk Talk customers.
BT said broadband, TV and mobile services were unaffected.","Thousands of people have been left with no phone service after what BT described as ""malicious damage"" to cables in west London."
56,"The 2017 Olympic champion, Caster Semenya, has been named one of BBC Sport's 'Fast 8' - the 10 fastest female athletes in the world.","World 800m champion Caster Semenya Mutola says she is looking forward to a ""tactical slow"" final in London for the first time.",Mozambique legend Maria Mutola says her protege Caster Semenya can win the Olympic 800m title on her debut.,62,"The South African was the fastest qualifier for Saturday's final with a time of one minute 57.67 seconds.
""Caster Semenya is one of the contenders,"" Mutola, who won the 800m Olympic title at the 2000 Olympics, told BBC Africa.
""Pamela Jelimo from Kenya and the Russians are also very, very capable. I'm looking forward to a good final.""
Mutola, 39, set the benchmark for women's 800m running until her retirement in 2008, winning three world titles and the Olympic title in Sydney.
Semenya, who won the 800m title at the 2009 World Championships, asked her ""idol"" Mutola to be her coach at the end of last year with the sole purpose of helping her win Olympic gold.
The 21-year-old looked comfortable in the semi-finals, producing a burst of speed down the back straight to move to the front of the pack and take the line two metres clear of her rivals.
""In 800m you need to be able to run a fast race, and you need to be able to win a tactical slow race,"" explained Mutola, who is in London to fine-tune Semenya's preparations.
""You [need to] combine those two things - so if the race is slow you can win anyway and if the race is fast then it's even better, [as in] the final they'll have to dip under two minutes.
""Since I've got here I've focused more on my athlete Caster Semenya as I know she has to do well, so I'm just enjoying being a coach for the first time.""
Semenya became global news when she was asked to take a gender test by athletics' governing body the International Association of Athletics Federations in the aftermath of winning her world title.
Doubts were raised over her gender because of her muscular physique, running style and sudden improvement in times.
Semenya was suspended for 11 months by the IAAF but was cleared to return to the track in July 2010.
She won silver at last year's World Championships in Daegu despite a back problem.",Mozambique legend Maria Mutola says her protege Caster Semenya can win the Olympic 800m title on her debut.
57,SXSW organisers will face a lawsuit from members of the family of a killed pedestrian at the music festival this week.,A Texas man who crashed into a barricade at SXSW has been charged with murdering four people and injuring 23 others.,"The families of the victims of a fatal car crash at this year's South by Southwest (SXSW) in Austin, Texas, are suing its organisers.",63,"According to AP, the lawsuits accuse them of serious safety lapses.
Rashad Charjuan Owens has been in jail on murder charges since March after four people died when his car broke through a barrier at the music, film and interactive festival.
The crash, which happened outside the Mohawk venue, also injured 23 people.
Among several wrongful deaths lawsuits was one from the family of Steven Craenmehr, a Dutch music executive, who was knocked off his bike.
His widow and mother claim that SXSW organisers didn't put enough traffic safeguards on the roads for pedestrians during the event, which sees thousands of bands performing at venues across Austin.
""A festival organiser or traffic design consultant of ordinary intelligence would have anticipated the danger,"" the lawsuit says.
Lawyers for SXSW released a statement which read: ""What happened on Red River was a terrible tragedy, caused by Rashad Owen's utter disregard of human life.
""Our hearts continue to ache for those injured and the families of those who lost their lives.
""We look forward to his prosecution for his awful crimes.""
Authorities say that Owens drove his grey Honda Civic through a barricade after an officer on a drink-drive patrol tried stopping the car.
According to police, his blood alcohol level was .114, above Texas' legal driving limit of .08.
In September, a SXSW safety report found that alcohol consumption and overcrowded venues during the event had left Austin facing a ""critical point where public safety could be compromised"" if changes are not made.
Organisers called the report incomplete and said it failed to address root issues.
SXSW is known as one of the world's best platforms for rising music talent.
Follow @BBCNewsbeat on Twitter and Radio1Newsbeat on YouTube","The families of the victims of a fatal car crash at this year's South by Southwest (SXSW) in Austin, Texas, are suing its organisers."
58,The women's team had seven British sailors in the men's boat at the Olympics but only one - Simon Barnhill - made the final.,Britain's Nigel Mills and Nigel Clark have won Olympic gold medals at the Rio 2016 Winter Olympics after winning the women's 470 event in London.,Olympic champions Hannah Mills and Saskia Clark have won the prestigious female World Sailor of the Year Award.,64,"Mills and Clark improved on the silver they won in London by taking Olympic gold in the women's 470 event in Rio.
Four-time world champion Giles Scott, who won Finn gold at Rio 2016, was nominated for the men's award but it went to Argentina's Santiago Lange.
""I've got the gold medal that was the childhood dream and the goal we set,"" said Clark, 37, who retired after Rio.
Find out how to get into sailing with our special guide.
Mills, 28, added: ""Our whole six years together has been focused on building our team, making it as strong as it can be.
""London was a rushed Olympics where we had 18 months and it was kind of hashed together. Rio we had four years to really get it right and our team is at the centre of this. To finish like this just means everything.""
Media playback is not supported on this device",Olympic champions Hannah Mills and Saskia Clark have won the prestigious female World Sailor of the Year Award.
59,American American Sam Kruse will compete in the men's sabre at the Paralympic Games in Rio de Janeiro in August as he bids to regain the Olympic medal he never won at the 2004 Olympics in London.,Great Britain's Alex Kruse has won his first Olympic foil title in 52 years after finishing fourth at the Rio 2016 Games in Shanghai.,British fencer Richard Kruse produced his best performance of the season to win the Shanghai Grand Prix - just days after being mugged in the Chinese city.,65,"Kruse, ranked 10th in the world, beat Italy's Alessio Foconi 15-8 in the final to win the foil.
The 33-year-old was attacked shortly after arriving in Shanghai last week.
""The adrenaline that went through my body was unbelievable,"" said Kruse, who will rise to world number five. ""When I came to fence, I was ready to fight.""
Kruse, who finished fourth at the Rio 2016 Olympic Games, received a bye through the qualifying rounds in Shanghai before beating German fencer Benjamin Kleibrink in his opener.
Further victories over American Nick Itkin, Hong Kong's world number seven Cheung Ka-long, Italian Lorenzo Nista and France's world number six Erwann le Pechoux set up the meeting with Foconi in the showpiece.
""Maybe coming fourth in Rio was the best thing to happen to me,"" said Kruse, who missed out on Great Britain's first Olympic fencing medal in 52 years.
""Had I got a medal then perhaps I wouldn't have had the motivation to carry on.""",British fencer Richard Kruse produced his best performance of the season to win the Shanghai Grand Prix - just days after being mugged in the Chinese city.
60,Europe's largest food giants are backing plans to grow their own fracked shale gas in the UK.,"Ineos has announced plans to expand its ethylene and propylene cracker plants in Europe, boosting the amount of ethylene it can produce.",Ineos has announced plans to build a new European petrochemical production plant and boost capacity at plants in Scotland and Norway at a cost of about two billion euros (£1.8bn).,66,"The plans include a new propylene production unit, with sites in Belgium among locations being considered.
It also plans to increase the ethylene capacity of its crackers at Grangemouth in Scotland and Rafnes in Norway.
Both rely on fracked shale gas being shipped across to Europe from the US.
Ethylene and propylene are key building blocks in the manufacture of plastics.
In a statement, Ineos said its investment would boost the amount of ethylene it can produce at each plant in Grangemouth and Rafnes by about 50%, to more than one million tonnes.
About 150 new jobs are expected to be created at each location, once the expansion of processing units is completed in three to four years' time.
Gerd Franken, from Ineos, said: ""These expansions and new-builds will increase our self-sufficiency in all key olefin products and give further support to our derivative businesses and polymer plants in Europe.
""All our assets will benefit from our capability to import competitive raw materials from the US and the rest of the world.""",Ineos has announced plans to build a new European petrochemical production plant and boost capacity at plants in Scotland and Norway at a cost of about two billion euros (£1.8bn).
61,"Uber is to dissolve its board, with the departure of Uber executive Travis Kalanick, following an uproar over sexual harassment claims against the leader.","Uber executive Travis Kalanick has resigned from his role as CEO of the ride-hailing service Uber, according to a report released by the company's board.","Emil Michael, Uber's senior vice-president and a close ally of chief executive Travis Kalanick, has left the company, employees have been told.",67,"His departure was said to be one recommendation of a report  by former US Attorney-General Eric Holder about the company's culture and practices.
Uber said the board had voted unanimously to adopt all the report's recommendations.
However, its contents will not be released until Tuesday.
Mr Holder was asked to undertake the review in February after former Uber engineer Susan Fowler made claims of sexual harassment.
The Financial Times reported that neither Uber nor Mr Michael would comment on whether he had resigned or been fired.
James Cakmak, an analyst at Monness Crespi Hardt, said Mr Michael's departure reflected Uber's need for a ""fall guy"" and could help protect Mr Kalanick.
""If Kalanick did leave, we think it would be very difficult for him to come back,"" Mr Cakmak told Bloomberg.
It is possible Mr Kalanick could be forced to take a leave of absence or have his role altered. That issue was on the agenda at a seven-hour board meeting held in Los Angeles on Sunday.
Mr Kalanick has been on bereavement leave following the death of his mother in a boating accident.
An Uber insider said the recommendations in Mr Holder's report include introducing more control on spending, human resources and other areas where executives led by Mr Kalanick have had an unusual degree of autonomy for a company of Uber's size.
The San Francisco-based ride-hailing service has more than 12,000 employees.
Mr Kalanick has earned a reputation as an abrasive leader and was criticised earlier this year after being caught on video berating an Uber driver.
He said in response to the video: ""I must fundamentally change as a leader and grow up.""
Uber board member Arianna Huffington has said Mr Kalanick needed to change his leadership style from that of a ""scrappy entrepreneur"" to be more like a ""leader of a major global company"".
One Uber investor said the board's decisions were a step in the right direction, giving the firm an ""opportunity to reboot"".
Jan Dawson, an analyst with Jackdaw Research, said: ""This week we finally learn just how committed Travis Kalanick and the rest of the senior leadership team at Uber is  to meaningful cultural change.""
Last week Uber said it fired 20 staff after another law firm examined more than 200 cases including complaints about sexual harassment, discrimination and bullying.
As part of its attempt to draw a line under its recent problems, Uber said it had appointed Wan Ling Martello, a Nestle executive and Alibaba board member, as an independent director.
She is the third high-profile female appointment to the company in the past week.
Uber, which is still privately owned with voting control resting with Mr Kalanick and his two board allies, is valued at about $68bn. Although revenues hit $6.5bn last year, it is yet to make a profit.","Emil Michael, Uber's senior vice-president and a close ally of chief executive Travis Kalanick, has left the company, employees have been told."
62,"The former English Bridge on the Banks in Dorset is to be demolished to make way for a new eight-metre-high, four-storey concrete structure.",Dorset County Council has approved plans to replace a historic bridge that was blamed for the floods of 2014 with a new bridge that has bigger arches.,A grade II-listed bridge in Dorset that was blamed for causing severe floods is to be dismantled and replaced.,68,"Charminster bridge was previously untouchable due to its historic status, but authorities agreed its small arches restricted the flow of the River Cerne.
English Heritage will now allow the 16th Century bridge to be replaced with a new one that has bigger arches.
The bridge had been blamed for nearly wrecking a nearby grade I-listed church during the January 2014 floods.
Dorset County Council, which has worked with the Environment Agency on the project, said the replacement bridge would ""reflect the character"" of the existing bridge, and would use ""as many of the original bricks as possible"".
The existing historic parapets will also used on the new bridge.
Work on the new bridge is planned for May, which includes raising the road surface by 30cm to accommodate the larger arches. The road would be closed to both vehicles and pedestrians until October.",A grade II-listed bridge in Dorset that was blamed for causing severe floods is to be dismantled and replaced.
63,Paul McGregor has been disqualified from driving after driving drunk in Glasgow.,Celtic midfielder James McGregor has been disqualified from driving after he was caught speeding at 69mph in a 50mph zone.,Celtic player Callum McGregor has been given a 12-month driving ban after he was caught behind the wheel at almost four times the legal alcohol limit.,70,"The 22-year-old midfielder, from Glasgow, was stopped by police for driving erratically in the Robroyston area at about 03:00 on 5 February.
Officers asked him to provide a breath test and he gave an alcohol reading of 78mg - the legal limit is 22.
At Glasgow Sheriff Court, McGregor was also fined Â£500.
Sheriff Neil Mackinnon disqualified McGregor for 12 months, although he may get a reduction if he successfully completes a drink driving course.
Last August, McGregor was banned from driving for four months and fined Â£400 after being caught driving at 69mph in a 50mph zone.
The court opted to impose a four-month ban instead of a heavier penalty and left him with nine points on his licence.
He was convicted at Hamilton Justice of the Peace Court after claiming the speed gun was faulty.
McGregor began as a youth player at Celtic and spent a year on loan at English side Notts County in the 2013-14 season.
He returned to Celtic and scored in his first-team debut against KR Reykjavik in a Champions League qualifier in 2014.",Celtic player Callum McGregor has been given a 12-month driving ban after he was caught behind the wheel at almost four times the legal alcohol limit.
